start_week,end_week,duration_weeks,pm10_peak,pm10_mean,any_cap,episode_type,pm95_threshold
2020-02-03,2020-02-03,1,235.28571428571428,235.28571428571428,1,1-week,154.44999999999976
2020-02-17,2020-02-24,2,934.4285714285714,573.6428571428571,1,2+ weeks,154.44999999999976
2020-12-21,2020-12-21,1,164.71428571428572,164.71428571428572,0,1-week,154.44999999999976
2021-02-15,2021-02-15,1,354.42857142857144,354.42857142857144,1,1-week,154.44999999999976
2022-01-10,2022-02-07,5,509.42857142857144,262.4,1,2+ weeks,154.44999999999976
2022-03-14,2022-03-14,1,200.71428571428572,200.71428571428572,0,1-week,154.44999999999976
2022-12-26,2022-12-26,1,226.28571428571428,226.28571428571428,1,1-week,154.44999999999976
2023-02-13,2023-02-13,1,361.2857142857143,361.2857142857143,0,1-week,154.44999999999976
2023-10-02,2023-10-02,1,247.71428571428572,247.71428571428572,1,1-week,154.44999999999976
2023-12-11,2023-12-11,1,361.57142857142856,361.57142857142856,0,1-week,154.44999999999976
2024-01-22,2024-01-29,2,202.28571428571428,198.64285714285714,1,2+ weeks,154.44999999999976
2024-12-16,2024-12-16,1,237.0,237.0,1,1-week,154.44999999999976
