,count,mean,std,min,25%,50%,75%,max
deaths_week,522.0,9.913793103448276,3.4231684063039896,2.0,7.0,10.0,12.0,22.0
temp_c_mean,523.0,21.571837385049623,2.635483560354219,15.666666666666666,19.271428571428572,21.571428571428573,23.82857142857143,28.585714285714285
tmax_c_mean,523.0,24.63463215879086,2.6807775205543414,18.866666666666667,22.307142857142857,24.67142857142857,26.714285714285715,33.0
tmin_c_mean,523.0,18.51007147409633,2.6845609666927754,12.225,16.16428571428571,18.32857142857143,21.0,24.17142857142857
humidity_mean,523.0,68.30069197851225,5.169119473726402,51.57142857142857,64.57142857142857,68.14285714285714,72.0,80.0
pressure_hpa_mean,523.0,1014.8916568788126,3.1948480927916263,1006.5071428571429,1012.6464285714285,1014.2714285714285,1016.5071428571429,1025.1499999999999
wind_ms_mean,523.0,6.124378585086042,1.4867100034034808,2.5714285714285716,5.0,6.114285714285714,7.271428571428571,10.200000000000001
PM10,523.0,50.51614787992553,49.95215373002731,10.20834255218506,26.714285714285715,37.857142857142854,54.57142857142857,656.0
PM2.5,490.0,16.178399759261094,12.990799344756823,4.428571428571429,9.571428571428571,13.142857142857142,18.714285714285715,161.28571428571428
SO2,417.0,4.109129838985954,4.623997396853957,1.0,1.1666666666666667,2.2857142857142856,5.857142857142857,37.57142857142857
NO2,405.0,23.235149911816578,13.93765196174309,2.0,12.833333333333334,21.0,31.0,118.0
O3,471.0,80.06534223031038,11.645135942986627,32.142857142857146,72.57142857142857,80.57142857142857,87.71428571428572,114.14285714285714
cap_heat_level_max_week,394.0,1.1598984771573604,0.4810040282191713,1.0,1.0,1.0,1.0,4.0
cap_dust_level_max_week,394.0,1.0786802030456852,0.2695813062431919,1.0,1.0,1.0,1.0,2.0
cap_heat_yellow_plus_week,394.0,0.11928934010152284,0.324540783478025,0.0,0.0,0.0,0.0,1.0
cap_dust_yellow_plus_week,394.0,0.07868020304568528,0.26958130624319193,0.0,0.0,0.0,0.0,1.0
cap_coverage_week,394.0,0.9934735315445977,0.04023717462071777,0.42857142857142855,1.0,1.0,1.0,1.0
low_vis_any_week,471.0,0.6263269639065817,0.4842927408340872,0.0,0.0,1.0,1.0,1.0
vis_min_m_week,471.0,13146.656050955415,5783.492605661843,0.0,9999.0,12000.0,19000.0,30000.0
rh_min_pct_week,471.0,51.593198968579635,9.35121758287484,13.762315936122208,45.629677759875634,51.89189308676556,58.10725720353918,71.83567150828277
