month,year_calima_class,n_weeks,mean_deaths,std_deaths
1,intense_calima,9,8.56,3.24
1,no_calima,36,11.58,4.34
2,intense_calima,8,10.0,3.38
2,no_calima,33,10.67,2.76
3,intense_calima,9,10.33,4.0
3,no_calima,34,10.0,2.89
4,intense_calima,8,8.62,4.41
4,no_calima,35,9.69,3.15
5,intense_calima,9,9.56,3.32
5,no_calima,36,9.78,3.05
6,intense_calima,9,9.44,3.91
6,no_calima,33,9.85,3.78
7,intense_calima,8,11.12,3.14
7,no_calima,37,8.46,2.93
8,intense_calima,10,8.4,2.41
8,no_calima,34,9.5,3.78
9,intense_calima,8,9.88,2.75
9,no_calima,35,9.46,3.54
10,intense_calima,9,9.78,3.46
10,no_calima,36,9.42,3.05
11,intense_calima,9,9.78,2.64
11,no_calima,33,9.91,3.16
12,intense_calima,8,10.25,3.15
12,no_calima,36,11.58,3.89
