,count,mean,std,min,25%,50%,75%,max
deaths_week,505.0,4.093069306930693,1.973347079351183,0.0,3.0,4.0,5.0,10.0
temp_c_mean,471.0,22.24216459407542,2.596917759415393,17.071428571428573,20.035714285714285,21.942857142857143,24.492857142857144,29.599999999999998
tmax_c_mean,471.0,24.97436558487514,2.7330137560115397,19.285714285714285,22.771428571428572,24.67142857142857,26.95357142857143,34.1
tmin_c_mean,471.0,19.511004953998583,2.570052820488491,14.485714285714286,17.27857142857143,19.400000000000002,21.942857142857143,25.514285714285712
humidity_mean,471.0,69.65119805884137,7.4812514892261035,33.0,65.57142857142857,70.28571428571429,74.71428571428571,87.28571428571429
pressure_hpa_mean,471.0,1015.4157448690728,5.321792913036341,989.25,1014.0428571428572,1015.75,1017.6964285714286,1025.4642857142858
wind_ms_mean,470.0,3.4117781155015194,0.9865278685736418,0.0,2.675,3.307142857142857,4.114285714285715,6.1571428571428575
PM10,523.0,48.22053304511341,50.39368999905579,6.998157262802124,23.214285714285715,33.0,51.285714285714285,578.5714285714286
PM2.5,90.0,16.993843150075783,46.6411053188915,2.0,7.518600531986781,9.469673292977468,13.917483534131732,448.0
SO2,467.0,3.5967217293769758,3.0715065169250146,1.0,1.8571428571428572,3.0,4.142857142857143,30.0
NO2,468.0,14.243543956043956,9.987040852381094,1.0,6.285714285714286,12.5,20.428571428571427,52.333333333333336
O3,466.0,69.28330778663396,10.194989576318765,31.666666666666668,62.285714285714285,69.42857142857143,76.0,100.14285714285714
cap_heat_level_max_week,394.0,1.1446700507614214,0.4361344398635722,1.0,1.0,1.0,1.0,4.0
cap_dust_level_max_week,394.0,1.0456852791878173,0.2090671451525499,1.0,1.0,1.0,1.0,2.0
cap_heat_yellow_plus_week,394.0,0.116751269035533,0.3215319628208583,0.0,0.0,0.0,0.0,1.0
cap_dust_yellow_plus_week,394.0,0.04568527918781726,0.2090671451525499,0.0,0.0,0.0,0.0,1.0
cap_coverage_week,394.0,0.9923857868020306,0.051904933981969,0.2857142857142857,1.0,1.0,1.0,1.0
calima_dai_flag,325.0,0.24835731660688098,1.2226804466615186,0.0,0.0,0.0,0.0,16.666666666666668
low_vis_any_week,460.0,0.1282608695652174,0.33474410183902836,0.0,0.0,0.0,0.0,1.0
vis_min_m_week,460.0,28272.391304347828,11284.35971713204,300.0,20000.0,30000.0,35000.0,55000.0
rh_min_pct_week,460.0,47.304487586219196,12.573093055902937,13.024356280131736,41.1372289366777,49.11152997184624,56.105181263353536,71.79898970107504
