month,year_calima_class,n_weeks,mean_deaths,std_deaths
1,intense_calima,5,4.6,2.3
1,no_calima,39,4.36,2.22
2,intense_calima,4,3.25,1.5
2,no_calima,37,4.73,2.34
3,intense_calima,4,3.5,1.73
3,no_calima,38,4.29,2.01
4,intense_calima,4,2.75,1.26
4,no_calima,38,3.61,2.07
5,intense_calima,5,5.2,1.92
5,no_calima,38,3.63,1.88
6,intense_calima,4,4.0,1.41
6,no_calima,36,4.28,2.06
7,intense_calima,4,5.0,1.41
7,no_calima,40,3.95,1.65
8,intense_calima,5,5.4,2.3
8,no_calima,38,4.11,1.75
9,intense_calima,3,3.0,2.0
9,no_calima,36,3.78,1.73
10,intense_calima,5,5.0,1.22
10,no_calima,37,4.11,1.97
11,intense_calima,4,5.75,2.22
11,no_calima,37,3.38,1.99
12,intense_calima,4,3.25,1.5
12,no_calima,39,4.59,1.89
