month,year_calima_class,n_weeks,mean_deaths,std_deaths
1,intense_calima,19,168.79,17.37
1,no_calima,26,157.58,16.51
2,intense_calima,16,155.19,21.47
2,no_calima,25,148.44,19.66
3,intense_calima,17,149.76,13.83
3,no_calima,26,135.73,18.13
4,intense_calima,17,139.71,12.18
4,no_calima,26,128.19,14.79
5,intense_calima,18,135.67,9.29
5,no_calima,27,123.19,12.76
6,intense_calima,17,128.94,14.53
6,no_calima,25,121.6,11.49
7,intense_calima,18,132.44,16.03
7,no_calima,27,116.48,16.48
8,intense_calima,18,138.56,16.06
8,no_calima,26,124.27,17.94
9,intense_calima,17,135.76,12.37
9,no_calima,26,120.23,14.23
10,intense_calima,18,141.39,19.92
10,no_calima,27,117.07,13.06
11,intense_calima,17,136.65,15.21
11,no_calima,25,128.8,18.55
12,intense_calima,17,147.59,19.88
12,no_calima,27,146.78,17.41
