,count,mean,std,min,25%,50%,75%,max
deaths_week,522.0,15.812260536398467,4.729862157801066,5.0,12.25,15.0,18.75,48.0
temp_c_mean,516.0,21.262123938722777,2.242933330953253,16.52857142857143,19.360714285714284,21.107142857142858,23.357142857142858,26.814285714285713
tmax_c_mean,516.0,23.71516242155777,2.2105050221948925,18.814285714285713,21.924999999999997,23.571428571428573,25.585714285714285,30.25714285714286
tmin_c_mean,516.0,18.807948043558508,2.3656998493989705,14.057142857142859,16.785714285714285,18.733333333333334,21.05,24.0
humidity_mean,516.0,69.74937707641196,5.0373374989395785,42.42857142857143,67.10714285714286,70.28571428571429,73.28571428571429,87.0
pressure_hpa_mean,523.0,1014.4243854138213,3.043572771231079,1001.15,1012.4928571428571,1014.0916666666667,1015.9749999999999,1024.2
wind_ms_mean,523.0,5.3392643175817165,1.50419739914486,2.1666666666666665,4.169047619047619,5.314285714285715,6.471428571428571,9.285714285714286
PM10,523.0,46.07065445083223,58.20941360167641,7.428571428571429,20.0,31.285714285714285,49.57142857142857,740.2857142857143
PM2.5,511.0,17.40940952500541,17.187218371495945,3.5714285714285716,8.285714285714286,11.714285714285714,20.0,164.57142857142858
SO2,471.0,9.952937013446567,7.282095500145046,1.0,6.0,8.0,12.142857142857142,73.42857142857143
NO2,463.0,38.148734958346196,12.043090999303427,6.0,29.785714285714285,36.714285714285715,44.64285714285714,79.28571428571429
O3,471.0,75.07028611869376,13.524662918636785,35.57142857142857,67.35714285714286,75.85714285714286,83.71428571428571,130.57142857142858
cap_heat_level_max_week,394.0,1.1294416243654823,0.4171833249412775,1.0,1.0,1.0,1.0,4.0
cap_dust_level_max_week,394.0,1.0456852791878173,0.2090671451525499,1.0,1.0,1.0,1.0,2.0
cap_heat_yellow_plus_week,394.0,0.10406091370558376,0.30572777451034944,0.0,0.0,0.0,0.0,1.0
cap_dust_yellow_plus_week,394.0,0.04568527918781726,0.2090671451525499,0.0,0.0,0.0,0.0,1.0
cap_coverage_week,394.0,0.9934735315445977,0.04023717462071777,0.42857142857142855,1.0,1.0,1.0,1.0
low_vis_any_week,504.0,0.1527777777777778,0.36013061224363085,0.0,0.0,0.0,0.0,1.0
vis_min_m_week,504.0,17647.579365079364,5803.454628058292,1100.0,15000.0,20000.0,20000.0,30000.0
rh_min_pct_week,187.0,57.29898630023351,9.565280949821128,20.046770463139765,54.069680891601635,58.75686401391454,63.20274423575988,77.46347403540311
