month,year_calima_class,n_weeks,mean_deaths,std_deaths
1,intense_calima,14,19.14,4.61
1,no_calima,31,19.9,4.91
2,intense_calima,12,16.42,5.37
2,no_calima,29,17.83,5.36
3,intense_calima,13,17.15,3.36
3,no_calima,30,16.63,3.88
4,intense_calima,13,16.38,4.86
4,no_calima,30,14.2,3.5
5,intense_calima,13,16.15,4.28
5,no_calima,32,13.69,3.97
6,intense_calima,13,14.15,3.89
6,no_calima,29,16.28,3.47
7,intense_calima,13,12.92,3.35
7,no_calima,32,13.47,4.63
8,intense_calima,14,15.5,4.59
8,no_calima,30,16.07,7.56
9,intense_calima,13,14.38,4.11
9,no_calima,30,15.43,3.97
10,intense_calima,13,14.15,4.04
10,no_calima,32,14.31,3.62
11,intense_calima,13,14.15,3.69
11,no_calima,29,16.79,4.04
12,intense_calima,13,16.85,5.32
12,no_calima,31,16.45,4.15
