,count,mean,std,min,25%,50%,75%,max
deaths_week,523.0,140.55449330783938,22.292602974888958,92.0,124.0,140.0,154.0,214.0
temp_c_mean,523.0,22.127243922425567,2.6952156892366053,16.985714285714288,19.942857142857143,21.957142857142856,24.357142857142858,30.97142857142857
tmax_c_mean,523.0,26.035696075753435,2.8589540488090424,20.400000000000002,23.7,25.771428571428572,28.17142857142857,36.94285714285714
tmin_c_mean,523.0,18.216880633706637,2.6273439296249856,12.728571428571428,16.08571428571429,18.2,20.42142857142857,24.985714285714288
humidity_mean,523.0,61.59005736137667,6.725523506671037,27.714285714285715,59.0,62.42857142857143,65.5,77.71428571428571
pressure_hpa_mean,523.0,1009.7213309205134,2.9517409957852614,1000.5428571428572,1007.65,1009.3071428571428,1011.2214285714285,1018.8142857142857
wind_ms_mean,523.0,6.245554493307839,1.5159757722372353,3.057142857142857,5.071428571428571,6.228571428571429,7.357142857142857,10.942857142857141
PM10,523.0,49.15698012898736,55.97839885474392,5.735227584838867,22.07142857142857,33.285714285714285,51.85714285714286,580.1428571428571
PM2.5,523.0,15.299598945482044,12.339273712520734,3.4285714285714284,8.617229597909109,11.857142857142858,17.121428571428574,132.71428571428572
SO2,470.0,7.658611955420467,4.874990939879654,2.0,4.142857142857143,6.619047619047619,10.25,39.57142857142857
NO2,469.0,48.2247080921921,21.3409458790687,9.714285714285714,30.571428571428573,46.142857142857146,63.142857142857146,177.71428571428572
O3,469.0,68.41935221849934,14.06608188090244,32.285714285714285,58.714285714285715,68.0,77.28571428571429,120.28571428571429
cap_heat_level_max_week,394.0,1.1624365482233503,0.47213461689705966,1.0,1.0,1.0,1.0,4.0
cap_dust_level_max_week,394.0,1.0583756345177664,0.23475047879153169,1.0,1.0,1.0,1.0,2.0
cap_heat_yellow_plus_week,394.0,0.12690355329949238,0.333288122894681,0.0,0.0,0.0,0.0,1.0
cap_dust_yellow_plus_week,394.0,0.0583756345177665,0.23475047879153166,0.0,0.0,0.0,0.0,1.0
cap_coverage_week,394.0,0.9927483683828862,0.04724577706928324,0.42857142857142855,1.0,1.0,1.0,1.0
calima_dai_flag,325.0,0.24835731660688098,1.2226804466615186,0.0,0.0,0.0,0.0,16.666666666666668
low_vis_any_week,504.0,0.25992063492063494,0.4390265683129958,0.0,0.0,0.0,1.0,1.0
vis_min_m_week,504.0,23285.089285714286,8565.497500865915,0.0,18000.0,25000.0,30000.0,40000.0
rh_min_pct_week,504.0,43.3050951356603,11.662966623520017,6.966317981651916,37.95626430837175,46.84884985752868,51.1055246121139,64.52348081896496
