month,year_calima_class,n_weeks,mean_deaths,std_deaths
1,intense_calima,19,173.95,22.04
1,no_calima,26,164.65,20.91
2,intense_calima,16,163.75,13.37
2,no_calima,25,155.48,22.09
3,intense_calima,17,156.76,16.08
3,no_calima,26,146.77,18.71
4,intense_calima,17,140.65,18.01
4,no_calima,26,138.38,15.64
5,intense_calima,18,134.94,15.77
5,no_calima,27,126.44,15.39
6,intense_calima,17,134.18,14.31
6,no_calima,25,127.2,18.64
7,intense_calima,18,141.56,26.37
7,no_calima,27,123.07,16.91
8,intense_calima,18,138.06,16.45
8,no_calima,26,127.62,18.67
9,intense_calima,17,135.82,13.83
9,no_calima,26,124.04,16.6
10,intense_calima,18,143.89,18.54
10,no_calima,27,124.19,10.33
11,intense_calima,17,140.94,14.44
11,no_calima,25,131.8,14.65
12,intense_calima,17,156.0,18.8
12,no_calima,27,148.89,20.66
