,coef,HC3_SE,t,p_value,CI_low,CI_high
const,62.0475,18.0541,3.4368,0.0006,26.6615,97.4335
calima_score,-5.3391,17.3394,-0.3079,0.7581,-39.3243,28.6462
lag_deaths,0.5689,0.0446,12.764,0.0,0.4816,0.6563
month_2,-8.2936,3.8752,-2.1402,0.0323,-15.889,-0.6982
month_3,-12.8445,3.5911,-3.5768,0.0003,-19.8831,-5.806
month_4,-18.2538,3.8352,-4.7596,0.0,-25.7708,-10.7369
month_5,-20.9147,4.1355,-5.0573,0.0,-29.0204,-12.8091
month_6,-23.9903,5.3362,-4.4958,0.0,-34.4492,-13.5313
month_7,-27.6847,6.363,-4.3509,0.0,-40.1561,-15.2133
month_8,-23.1598,7.0202,-3.299,0.001,-36.9194,-9.4003
month_9,-25.5841,6.2752,-4.077,0.0,-37.8834,-13.2847
month_10,-23.6403,5.1675,-4.5748,0.0,-33.7686,-13.512
month_11,-16.7127,4.5685,-3.6582,0.0003,-25.667,-7.7584
month_12,-4.5354,3.6109,-1.256,0.2091,-11.6128,2.542
calima_x_lag,0.0394,0.1055,0.3735,0.7088,-0.1674,0.2462
temp_c_mean,1.1208,0.9159,1.2238,0.221,-0.6743,2.9159
