,coef,HC3_SE,t,p_value,CI_low,CI_high
const,95.8538,16.7684,5.7164,0.0,62.9879,128.7198
calima_score,25.2614,17.3823,1.4533,0.1461,-8.8079,59.3308
lag_deaths,0.4861,0.0466,10.4286,0.0,0.3947,0.5774
month_2,-7.8537,4.6082,-1.7043,0.0883,-16.8857,1.1783
month_3,-13.0224,4.3489,-2.9944,0.0027,-21.5463,-4.4986
month_4,-21.243,4.9257,-4.3127,0.0,-30.8975,-11.5886
month_5,-24.2222,5.0819,-4.7664,0.0,-34.1828,-14.2617
month_6,-24.3102,5.8535,-4.1531,0.0,-35.7831,-12.8374
month_7,-25.6567,6.8481,-3.7466,0.0002,-39.079,-12.2345
month_8,-25.0699,6.7366,-3.7214,0.0002,-38.2737,-11.8661
month_9,-24.6212,6.457,-3.8131,0.0001,-37.277,-11.9654
month_10,-24.4645,5.9172,-4.1345,0.0,-36.0622,-12.8668
month_11,-20.2276,5.0978,-3.9679,0.0001,-30.2192,-10.2359
month_12,-10.4446,4.5889,-2.2761,0.0228,-19.4388,-1.4504
calima_x_lag,-0.1079,0.1017,-1.0613,0.2885,-0.3073,0.0914
temp_c_mean,0.218,0.7373,0.2957,0.7675,-1.2272,1.6632
